file,category,component,maturity,strengths,issues,total_lines,code_lines,comment_lines,comment_ratio,pragma_once,include_guard,nonpref_macros,macro_defines,using_namespace,todo_count,doc_name_matches,dedicated_test_cpp,direct_test_includes,direct_bench_includes,c++17_exit,c++20_exit,c++20_first,c++20_errors,c++17_errors,c++17_first,risk_category,recommended_fix,priority
tests/test_AllocationStrategies.cpp,test_cpp,AllocationStrategies,Broken/Out-of-sync,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner). | Fails to compile under both C++17 and C++20.,896,554,137,0.198,False,False,0,0,True,0,,,,,1.0,1.0,/mnt/data/fatp_py/tests/test_AllocationStrategies.cpp: In function ‘bool fat_p::testing::test_standard_allocator_basic()’:,213.0,271.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly. Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P0
tests/test_ConstexprUtilities.cpp,test_cpp,ConstexprUtilities,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner). | Fails to compile under C++20 (but compiles under C++17).,1110,742,146,0.164,False,False,0,0,True,0,,,,,0.0,1.0,In file included from /mnt/data/fatp_py/tests/test_ConstexprUtilities.cpp:26:,5.0,0.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly. Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P0
tests/test_CoroutineTask.cpp,test_cpp,CoroutineTask,Prototype/Experimental,Includes FatPTest.h. | Uses TEST_CASE macros. | Uses RUN_TEST/TestRunner harness.,No main() (relies on external runner). | Fails to compile under C++20 (but compiles under C++17).,568,380,64,0.144,False,False,0,0,False,0,,,,,0.0,1.0,"In file included from /mnt/data/fatp_py/fat_p/CoroutineTask.h:37,",1.0,0.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently.,P0
tests/test_EnforcedInit.cpp,test_cpp,EnforcedInit,Needs cleanup,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,"Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner). | Verified passing runtime in tests.txt (Windows/MSVC, C++17) on 2025-12-28; matrix compile-gate note was stale. Re-run C++17/C++20 compile check.",1688,1165,222,0.16,False,False,0,0,True,0,,,,,1.0,1.0,In file included from /mnt/data/fatp_py/tests/test_EnforcedInit.cpp:15:,2.0,2.0,,internal-only,Modernize this test to use TEST_CASE macros and/or align with the common RUN_TEST/TestRunner harness. Avoid printing confusing PASS/FAIL-like lines unless part of a deliberate self-test. Re-run C++17/C++20 compile gates on the current codebase; prior 'broken' status was stale.,P1
tests/test_FatPJson.cpp,test_cpp,FatPJson,Needs cleanup,Includes FatPTest.h. | Uses TEST_CASE macros. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Fails to compile under C++20 (but compiles under C++17).,3106,2434,81,0.032,False,False,0,0,True,0,,,,,0.0,1.0,"In file included from /usr/include/c++/12/bits/hashtable.h:35,",2.0,0.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly.,P0
tests/test_RCU_integration.cpp,test_cpp,RCU_integration,Broken/Out-of-sync,Includes FatPTest.h. | Uses RUN_TEST/TestRunner harness.,Does not use TEST_CASE macros (older style / inconsistent). | No main() (relies on external runner). | Fails to compile under both C++17 and C++20. | Missing internal includes: TensoR.h.,281,188,40,0.175,False,False,0,0,True,0,,,,,1.0,1.0,/mnt/data/fatp_py/tests/test_RCU_integration.cpp:20:10: fatal error: TensoR.h: No such file or directory,1.0,1.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly. Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide. Add the standard conditional main() block (guarded by ENABLE_TEST_APPLICATION) or ensure the test runner provides main consistently. Add missing internal includes so the test compiles as a standalone TU.,P0
tests/test_StringPool.cpp,test_cpp,StringPool,Needs cleanup,Includes FatPTest.h. | Uses TEST_CASE macros. | Uses RUN_TEST/TestRunner harness. | Provides ENABLE_TEST_APPLICATION main().,Fails to compile under C++20 (but compiles under C++17).,1109,813,56,0.064,False,False,0,0,False,0,,,,,0.0,1.0,/mnt/data/fatp_py/tests/test_StringPool.cpp: In function ‘bool fat_p::testing::stringpool::test_utf8_strings()’:,10.0,0.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly.,P0
tests/test_include_all_headers.cpp,test_cpp,include_all_headers,Prototype/Experimental,Includes FatPTest.h. | Provides ENABLE_TEST_APPLICATION main().,Does not use TEST_CASE macros (older style / inconsistent). | Missing standard RUN_TEST/TestRunner harness (may not integrate cleanly). | Fails to compile under C++20 (but compiles under C++17).,123,113,8,0.066,False,False,0,0,False,0,,,,,0.0,1.0,In file included from /mnt/data/fatp_py/tests/test_include_all_headers.cpp:39:,6061.0,0.0,,internal-only,Fix compilation errors; keep tests self-contained and include required headers explicitly. Migrate to FatPTest's TEST_CASE/SECTION style macros for uniform reporting and to match style guide.,P0
fat_p/CheckedArithmeticPolicies.h,library_header,CheckedArithmeticPolicies,Needs cleanup,Has #pragma once.,"Defines 10 non-FATP_ macros (leaks macros): ENABLE_IF_INTEGRAL, ENABLE_IF_FLOATING, ENABLE_IF_ARITHMETIC, ENABLE_IF_INTEGRAL, ENABLE_IF_FLOATING, ENABLE_IF_ARITHMETIC, HAS_BUILTIN_OVERFLOW, HAS_BUILTIN_OVERFLOW.... | No doc file name matches this component (docs may exist elsewhere). | No dedicated test_*.cpp (likely tested indirectly or grouped).",355,95,215,0.694,True,False,10,10,False,0,0.0,0.0,1.0,0.0,,,,,,,API risk,Replace non-prefixed enable-if / builtin-detection macros with FATP_* names or constexpr traits; keep macro usage internal to implementation; add/extend unit tests for policy selection paths.,P1
fat_p/DebugOnly.h,library_header,DebugOnly,Needs cleanup,Docs exist (name match count=2). | Has a dedicated test_*.cpp.,"Uses include guard instead of #pragma once (guideline mismatch). | Defines 6 non-FATP_ macros (leaks macros): DEBUG_ONLY_EXEC, DEBUG_ONLY_EXEC, DEBUG_ONLY_INCREMENT, DEBUG_ONLY_INCREMENT, DEBUG_ONLY_LOG, DEBUG_ONLY_LOG. | C++20 include-all test reports template redeclaration issues (may be cascade after earlier error).",637,423,101,0.193,False,True,6,7,False,0,2.0,1.0,2.0,0.0,,,,,,,API risk,Align with header hygiene rules: prefer #pragma once or ensure include guard matches project conventions. Confirm no macro leakage and include-order safety.,P1
